  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
3,jan2017reduc,0.007330908,0.018210461,0.402565752,0.687380912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,proccess_oil_p2012,-0.006457391,0.003003138,-2.150214511,0.031853094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lvalue_added_tax,-1.213258209,1.379716346,-0.879353363,0.379487657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,lsalary_industry_worker,-0.068486303,0.077385569,-0.885000968,0.376436014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.989392831,0.791605599,6.30287714,4.95E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.007376898,0.016828424,-0.438359435,0.661250483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2017reduc, 1)",0.001455777,0.019231986,0.075695597,0.939681226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,proccess_oil_p2012,-0.006748083,0.002843147,-2.373455156,0.017870565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lvalue_added_tax,-0.694626728,1.782825385,-0.389621291,0.696925905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,lsalary_industry_worker,-0.068946021,0.091770674,-0.751285987,0.452713435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.567379072,0.832241685,5.488044104,5.55E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.005128836,0.022080164,-0.232282511,0.816381294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2017reduc, 2)",-0.007794602,0.021143336,-0.368655262,0.712487638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,proccess_oil_p2012,-0.006731238,0.00287139,-2.344243669,0.019323007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lvalue_added_tax,-0.664528592,2.599412362,-0.2556457,0.798293782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,lsalary_industry_worker,-0.025101494,0.098680311,-0.25437186,0.799277278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
